"LimesLimits_ID";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Nb_finds";"Nb_runs_ROMMA";Nb_runs_ROMMB
3;178540;418540;"Grave";"De Zittert";"rural settlement";10;1000;1000
6;179950;416600;"Escharen";"Rotseweg";"rural settlement";10;1000;1000
7;179880;415860;"Escharen";"Hoogeburgt";"rural settlement";10;985;1000
10;182540;416940;"Gassel";"Provincialeweg";"rural settlement";10;987;1000
18;188265;415195;"Cuijk";"Het Riet";"rural settlement; burial(s)";10;1000;1000
20;185500;415500;"Beers";"Kerkeveld";"rural settlement";10;1000;1000
21;187500;416500;"Cuijk";"Heeswijkse Kampen I";"rural settlement; burial(s)";10;50;1000
25;182850;417250;"Gassel";"Overlaat";"rural settlement";10;562;939
33;173600;416800;"Schaijk";"Kleefsestraat";"rural settlement";10;1000;1000
35;172370;422570;"Ravenstein";"Burgemeester van der Wielstraat";"rural settlement";10;950;1000
37;171650;423750;"Deursen";"Het Steenwerk";"rural settlement; burial(s)";10;1000;1000
39;170600;423900;"Deursen";"De Woerden";"rural settlement";10;285;706
40;170100;422950;"Deursen";"Onze Lieve Vrouwenberg";"rural settlement";10;1000;1000
42;174600;422100;"Neerloon";"Kalfsheuvel";"rural settlement";10;1000;1000
43;167200;415200;"Nistelrode";"Vorssel I";"rural settlement";10;1000;1000
44;167550;415200;"Nistelrode";"Vorssel II";"rural settlement";10;102;581
45;168840;416120;"Schaijk";"Mun";"rural settlement";10;999;1000
47;165000;416800;"Heesch";"A59";"rural settlement";10;235;658
49;161950;413280;"Vinkel";"Munnekens";"rural settlement";10;1000;1000
50;160850;413050;"Vinkel";"Sportpark";"rural settlement";10;1000;1000
54;163050;420220;"Oss";"Westerveld";"rural settlement";10;1000;1000
58;165100;420950;"Oss";"Horzak II";"rural settlement; burial(s)";10;850;999
59;165830;421100;"Oss";"IJsselstraat";"rural settlement";10;1000;1000
60;163660;420220;"Oss";"Zaltbommelseweg";"rural settlement";10;1000;1000
61;164500;420300;"Oss";"Eikenboomgaard";"rural settlement";10;1000;1000
63;169950;424050;"Deursen";"De Pas";"rural settlement";10;998;1000
67;169800;422650;"Deursen";"Avenduur";"rural settlement";10;765;972
69;168550;422800;"Haren";"Spaanse Steeg";"rural settlement; cult site?";10;1000;1000
70;167950;422050;"Berghem";"Lallenberg I";"rural settlement; burial(s)";10;680;843
72;167650;422700;"Berghem";"In het Broek";"rural settlement";10;1000;1000
74;166800;423050;"Berghem";"Het Winkel";"rural settlement";10;1000;1000
75;166150;423400;"Macharen";"Harense Broek I";"rural settlement";10;1000;1000
76;165900;424050;"Macharen";"Dorp";"rural settlement";10;466;972
77;165150;423100;"Macharen";"Hoogoord";"rural settlement";10;1000;1000
79;163100;424550;"Oijen";"De Lange Maaijen";"rural settlement";10;1000;1000
80;162750;424700;"Oijen";"Klootskamp I";"rural settlement; burial(s)?";10;888;958
82;162500;423350;"Teeffelen";"De Honig";"rural settlement; burial(s)?";10;1000;1000
83;162750;422600;"Teeffelen";"Weteringstraat";"rural settlement";10;1000;1000
86;161850;422500;"Teeffelen";"De Kampen";"rural settlement";10;1000;1000
95;150250;415500;"Empel";"Het Slot";"rural settlement";10;734;983
96;149860;415420;"Empel";"De Schaapskooi";"rural settlement";10;1000;1000
99;148300;415500;"'s-Hertogenbosch";"Maaspoort";"rural settlement";10;1000;1000
101;146725;414125;"Engelen";"De Beemd";"rural settlement";10;178;902
102;158250;422800;"Lith";"Tussen de Stegen";"rural settlement";10;1000;1000
104;159150;423500;"Lith";"Valkse Weg";"rural settlement";10;1000;1000
109;166850;425750;"Megen";"De Hoge Hof I";"rural settlement";10;966;1000
110;140190;449190;"Houten";"Molenzoom";"rural settlement, stone-built";10;971;981
111;139500;448750;"Houten";"Burgemeester Wallerweg";"rural settlement, stone-built; burial(s)";10;1000;1000
112;139130;448760;"Houten";"Tiellandt";"rural settlement; burial(s)";10;1000;1000
113;138190;449200;"Houten";"Wulven";"rural settlement, stone-built?; burial(s)";10;1000;1000
114;148300;440000;"Beusichem";"Pietersteeg";"rural settlement";10;33;968
115;147760;440140;"Beusichem";"De Ronde";"rural settlement";10;1000;954
118;153450;435400;"Erichem";"Hooge Korn";"rural settlement";10;1000;1000
120;152150;435935;"Buren";"De Blooten";"rural settlement";10;1000;1000
122;150150;435950;"Buren";"Hennisdijk";"rural settlement";10;1000;1000
129;145470;431820;"Deil";"Hooiweg";"rural settlement";10;208;554
131;160950;436120;"Echteld";"De Wilmert I";"rural settlement";10;1000;1000
132;160200;436150;"Echteld";"Oude Weiden";"rural settlement, stone-built";10;1000;1000
134;159480;435680;"Medel";"Rotonde";"rural settlement, stone-built?";10;1000;1000
136;142780;431280;"Enspijk";"Oude Weische Blok";"rural settlement";10;795;984
138;152970;434340;"Erichem";"De Vinkenbuurt";"rural settlement";10;1000;1000
142;150200;429500;"Est";"Rondweg";"rural settlement";10;1000;1000
150;147850;432150;"Geldermalsen";"Binnenveld";"rural settlement";10;1000;1000
152;154780;433480;"Kapel-Avezaath";"Bergakker Noord";"rural settlement; burial(s)";10;883;999
155;154330;432580;"Kapel-Avezaath";"Hoge Hof";"rural settlement";10;862;996
163;154590;436160;"Kerk-Avezaath";"Korenbroek II";"rural settlement";10;605;958
175;153970;435760;"Kerk-Avezaath";"Ambtsperk";"rural settlement; burial(s)?";10;563;978
179;154110;434520;"Kerk-Avezaath";"Teisterband";"rural settlement";10;1000;1000
181;165150;438150;"Lienden";"Boutenburg I";"rural settlement";10;987;1000
187;158950;440500;"Maurik";"Zwarte Paard";"rural settlement";10;1000;1000
192;162450;439400;"Ommeren";"De Eng";"rural settlement";10;1000;1000
193;160900;437400;"Ommeren";"Blauwe Kamp";"rural settlement";10;1000;1000
195;152005;427725;"Ophemert";"Kleine Mastmolen";"rural settlement";10;1000;1000
198;152370;427890;"Ophemert";"Wilhelminahoeve";"rural settlement";10;1000;1000
200;154550;428150;"Ophemert";"Kerkakkers";"rural settlement";10;999;164
206;153780;428350;"Ophemert";"Veelust";"rural settlement";10;1000;1000
210;151100;427750;"Ophemert";"Elzevier";"rural settlement";10;1000;1000
229;152320;427250;"Opijnen";"Westerbroek";"rural settlement";10;1000;1000
237;149230;426520;"Opijnen";"Oude Zandstraat";"rural settlement; burial(s)";10;1000;1000
240;155650;431450;"Tiel";"Oude Tielseweg";"rural settlement";10;1000;1000
241;156750;431050;"Tiel";"Hogeweg-Zennewijnenseweg";"rural settlement";10;1000;1000
242;157620;431560;"Tiel";"Uiterwaard I";"rural settlement";10;1000;1000
244;156100;431000;"Tiel";"Passewaaijse Hogeweg I";"rural settlement";10;1000;1000
245;154180;440870;"Rijswijk";"Woerdstraat";"rural settlement; burial(s)?";10;1000;1000
248;157710;435690;"Tiel";"De Start";"rural settlement";10;836;998
253;146670;428140;"Waardenburg";"De Woerden";"rural settlement; burial(s)?";10;1000;1000
255;153380;430830;"Wadenoijen";"Henigt";"rural settlement";10;638;965
258;152200;430450;"Wadenoijen";"Breeuwert";"rural settlement";10;1000;1000
261;153900;430400;"Wadenoijen";"Ouweling";"rural settlement";10;1000;1000
273;159600;437530;"Zoelen";"De Hevel";"rural settlement";10;1000;1000
282;156400;436180;"Zoelen";"Vergarde";"rural settlement; burial(s)";10;1000;1000
285;157190;436560;"Zoelen";"De Meerboom";"rural settlement";10;651;964
291;156900;436250;"Zoelen";"Drumptselaan";"rural settlement";10;289;861
297;153630;432580;"Kapel-Avezaath";"Aldenhaaf";"rural settlement";10;783;991
298;154250;432950;"Kapel-Avezaath";"De Bulk";"rural settlement";10;839;998
299;154420;433250;"Kapel-Avezaath";"Bergakker";"rural settlement; cult site?";10;1000;1000
307;150490;436700;"Buren";"Hofkamp I";"rural settlement";10;1000;1000
308;154330;436330;"Zoelen";"Nije Graaf";"rural settlement";10;1000;1000
310;156650;436270;"Zoelen";"Uiterdijk";"rural settlement";10;138;645
315;156190;429850;"Zennewijnen";"Hoogekamp";"rural settlement, stone-built";10;1000;1000
316;153090;428790;"Ophemert";"Hattelaar";"rural settlement";10;1000;1000
317;150930;429680;"Est";"Kurnheuvel";"rural settlement";10;999;1000
319;148300;430650;"Meteren";"Blankertseweg";"rural settlement";10;404;553
321;149650;430100;"Est";"Rijs en Ooyen";"rural settlement; cult site?";10;1000;1000
323;148950;428600;"Est";"Snelleveld";"rural settlement; burial(s)?";10;1000;1000
324;148100;428750;"Waardenburg";"Snelleveld";"rural settlement";10;1000;1000
325;148200;428400;"Neerijnen";"Hoge Tieflaar I";"rural settlement";10;1000;1000
326;142020;430280;"Gellicum";"Boutenstein I";"rural settlement; burial(s)?";10;1000;1000
327;147900;428350;"Neerijnen";"Hoge Tieflaar II";"rural settlement";10;1000;1000
328;147500;428180;"Neerijnen";"Hoge Tieflaar III";"rural settlement";10;1000;1000
329;148020;427970;"Neerijnen";"Hoge Tieflaar IV";"rural settlement";10;1000;1000
330;147800;428000;"Neerijnen";"Hoge Tieflaar V";"rural settlement";10;1000;1000
331;144910;426050;"Tuil";"Lindenhof";"rural settlement";10;1000;1000
332;140500;431550;"Rumpt";"De Worden";"rural settlement";10;1000;1000
333;143105;431765;"Deil";"Panweg";"rural settlement";10;1000;1000
335;145050;431810;"Deil";"Hooiblok";"rural settlement; cult place?";10;1000;1000
336;140645;434085;"Rumpt";"Betuwestrand";"rural settlement";10;1000;1000
337;144340;432070;"Deil";"Oude Winkel";"rural settlement";10;1000;1000
338;143700;433850;"Enspijk";"Mariënwaard";"rural settlement";10;159;717
339;145905;431795;"Deil";"Kijfakker";"rural settlement";10;938;1000
341;147900;431870;"Geldermalsen";"Provincialeweg Oost";"rural settlement";10;999;1000
342;147400;432100;"Geldermalsen";"Industrieweg";"rural settlement";10;1000;1000
344;149630;432230;"Geldermalsen";"Hoge Weide";"rural settlement; bridge?";10;965;1000
348;146450;435630;"Tricht";"Oude Hoeven";"rural settlement";10;1000;1000
349;149500;435100;"Buurmalsen";"Nieuwe Steeg";"rural settlement";10;1000;1000
351;147830;437250;"Buurmalsen";"Kruisstraat";"rural settlement";10;1000;1000
